c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_market_name;c_name_color;c_price_updated;c_pop
57939562;0;200;4;8;Uncommon;Standard;53;"Cape of Verdant Dreaming";D2D2D2;1464308467;695
57939563;0;202;28;33;Common;Standard;74;"Cape of the Burning Cabal";D2D2D2;1464311507;1282
57939564;0;2500;1;41;Uncommon;Standard;18;"Cape of the Flameguard";D2D2D2;1464337415;689
57939564;57939888;27000;1;0;Uncommon;Standard;18;"Cape of the Flameguard";D2D2D2;1464309771;99
57939565;0;689;5;20;Common;Standard;23;"Captain's Hook";D2D2D2;1464337496;520
57939566;0;429;2;8;Uncommon;Standard;53;"Castor's Spaulder";D2D2D2;1464331729;1529
57939567;0;108;14;30;Common;Standard;29;"Cerebral Support";D2D2D2;1464318951;1833
57939568;0;299;4;11;Common;Standard;23;"Ceremonial Rapier";D2D2D2;1464319483;388
57939569;0;967;5;23;Uncommon;Standard;57;"Champion of Emauracus";D2D2D2;1464319939;1716
57939570;0;200;8;15;Rare;Standard;41;"Chronite Armor";D2D2D2;1464316789;1100
57939571;0;684;7;25;Rare;Standard;41;"Chronite Bracers";D2D2D2;1464320170;1576
57939571;230139020;1899;1;0;Rare;Standard;41;"Chronite Bracers";D2D2D2;1464328086;576
57939571;929524694;1900;1;0;Rare;Standard;41;"Chronite Bracers";D2D2D2;1464348230;543
57939572;0;55000;1;0;Rare;Standard;41;"Набор «Chronite Defense»";D2D2D2;1464319760;641
57939573;0;517;5;35;Rare;Standard;41;"Chronite Scepter";D2D2D2;1464321269;1002
57939573;57939888;517;3;0;Rare;Standard;41;"Chronite Scepter";D2D2D2;1464338741;950
57939574;0;699;4;7;Common;Standard;62;"Cleaver of the Hidden Hunter";D2D2D2;1464329395;233
57939575;0;310;3;13;Common;Standard;53;"Coat of the Elder Grove";D2D2D2;1464308724;377
57939575;673206547;3300;1;0;Common;Standard;53;"Coat of the Elder Grove";D2D2D2;1464326538;82
57939576;0;358;8;10;Rare;Standard;6;"Cold Case Bow";D2D2D2;1464337428;1743
57939576;1278090025;1999;1;0;Rare;Standard;6;"Cold Case Bow";D2D2D2;1464328274;312
57939576;1339570770;1999;1;0;Rare;Standard;6;"Cold Case Bow";D2D2D2;1464328285;312
57939577;0;199;6;11;Common;Standard;62;"Creeper's Cruel Hook";D2D2D2;1464321178;759
57939578;0;699;6;5;Common;Standard;62;"Creeper's Cruel Painsaw";D2D2D2;1464314885;282
57939578;673768055;3500;1;0;Common;Standard;62;"Creeper's Cruel Painsaw";D2D2D2;1464326527;57
57939579;0;110;2;22;Common;Standard;62;"Creeper's Cruel Shuriken";D2D2D2;1464320637;1373
57939580;0;209;26;17;Common;Standard;74;"Crest of the Burning Cabal";D2D2D2;1464336801;1498
57939580;1739211675;131;1;0;Common;Standard;74;"Crest of the Burning Cabal";D2D2D2;1464353632;1382
57939582;0;164;10;17;Rare;Standard;53;"Cuffs of Oak and Yew";D2D2D2;1464341566;1354
57939582;1419973335;900;1;0;Rare;Standard;53;"Cuffs of Oak and Yew";D2D2D2;1464354412;256
57939584;0;130;16;10;Common;Standard;53;"Curled Root-Staff";D2D2D2;1464318547;1762
57939584;673189369;1999;1;0;Common;Standard;53;"Curled Root-Staff";D2D2D2;1464312443;64
57939585;0;1171;8;18;Common;Standard;18;"Cyclopean Helm of the Mono Militis";D2D2D2;1464308319;342
57939589;0;4900;3;11;Rare;Standard;8;"Defender of the Ivory Isles";D2D2D2;1464314290;513
57939589;1578714231;24500;1;0;Rare;Standard;8;"Defender of the Ivory Isles";D2D2D2;1464309881;95
57939589;1736064380;6600;1;0;Rare;Standard;8;"Defender of the Ivory Isles";D2D2D2;1464336241;334
57939591;0;156;10;27;Uncommon;Standard;2;"Demon Blood Armor";D2D2D2;1464346860;3199
57939592;0;19890;3;2;Rare;Standard;2;"Набор «Forged in Demons' Blood»";D2D2D2;1464355791;751
57939593;0;186;4;16;Uncommon;Standard;2;"Demon Blood Guard";D2D2D2;1464322443;1328
57939594;0;350;5;27;Uncommon;Standard;2;"Demon Blood Helm";D2D2D2;1464314872;1274
57939598;0;640;9;7;Rare;Standard;-1;"Ярлык для описания";D2D2D2;1464319822;2153
57939599;0;250;4;18;Common;Standard;53;"Diadem of the Goddess Enthroned";D2D2D2;1464355482;604
57939601;0;1199;3;18;Common;Standard;53;"Doubly Braided Beard";D2D2D2;1464355649;97
57939602;0;101;10;7;Common;Standard;49;Dragonmaw;D2D2D2;1464323338;1000
57939602;230139020;4500;2;0;Common;Standard;49;Dragonmaw;D2D2D2;1464326712;19
57939604;0;800;4;12;Uncommon;Standard;53;"Drape of Foliate Magery";D2D2D2;1464350549;190
57939604;674978582;3200;1;0;Uncommon;Standard;53;"Drape of Foliate Magery";D2D2D2;1464326648;104
57939604;1727020502;210;1;0;Uncommon;Standard;53;"Drape of Foliate Magery";D2D2D2;1464355245;1052
57939606;0;1200;2;20;Uncommon;Standard;18;"Dressed Pauldron of the Flameguard";D2D2D2;1464340557;399
57939608;0;558;11;16;Common;Standard;18;"Dressed Pauldron of the Mono Militis";D2D2D2;1464352966;1120
57939610;0;99;3;8;Uncommon;Standard;53;"Druidic Ritual Crest";D2D2D2;1464329432;1182
57939611;0;751;12;24;Mythical;Standard;1001;"Enduring War Dog";D2D2D2;1464313005;1485
57939611;1266082137;1341;1;0;Mythical;Standard;1001;"Enduring War Dog";D2D2D2;1464350310;450
57939613;0;199;8;20;Common;Standard;29;"Excavator's Treasure";D2D2D2;1464309203;583
57939615;0;246;3;14;Uncommon;Standard;2;"Executioner's Axe";D2D2D2;1464352996;1256
57939616;0;619;6;6;Uncommon;Standard;2;"Executioner's Cape";D2D2D2;1464309251;189
57939617;0;690;4;9;Uncommon;Standard;2;"Executioner's Hood";D2D2D2;1464326725;162
57939618;0;899;6;9;Uncommon;Standard;2;"Executioner's Trophies";D2D2D2;1464325483;920
57939618;673592339;10000;1;0;Uncommon;Standard;2;"Executioner's Trophies";D2D2D2;1464349242;100
57939619;0;1170;8;13;Mythical;Standard;1001;"Fearless Badger";D2D2D2;1464317799;500
57939619;673211540;1429;3;1;Mythical;Standard;1001;"Fearless Badger";D2D2D2;1464315940;409
57939620;0;330;7;10;Common;Standard;29;"Femur Thrasher";D2D2D2;1464321189;455
57939622;0;99;8;10;Common;Standard;8;"Fine Bone Bracers";D2D2D2;1464320782;1960
57939624;230145964;15000;4;10;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464325319;1099
57939624;230153465;15000;4;26;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464324047;1099
57939624;230158355;15000;1;7;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464312783;1056
57939624;230170471;15000;2;2;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464310065;991
57939624;230189101;15000;1;2;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464308614;991
57939624;230221730;15000;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464329211;1005
57939624;232177647;15000;1;1;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464309775;991
57939624;560542308;39300;2;7;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464338875;426
57939624;560608403;39900;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464313217;372
57939624;630860349;33100;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464349987;495
57939624;635719974;81800;1;1;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464350638;200
57939624;1325577090;15000;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464309809;991
57939624;1540644190;79330;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464336727;1000
57939624;1633948998;15000;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464324012;1099
57939624;1671059474;89800;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464309946;166
57939624;1683996683;89900;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464309864;165
57939624;1725044313;100000;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464346119;166
57939624;1733240554;17600;1;0;Mythical;Standard;8;"Fireborn Odachi";D2D2D2;1464352735;966
57939627;0;134;7;11;Common;Standard;53;"Flared Wooden Crest";D2D2D2;1464311204;858
57939629;0;810;6;25;Rare;Standard;53;"Flower Staff of the Peace-Bringer";D2D2D2;1464318783;1420
57939631;0;9500;4;24;Common;Standard;18;"Fluted Guard of the Swordmaster";D2D2D2;1464341667;35
57939632;0;177;8;10;Common;Standard;2;"Forgemaster's Apron";D2D2D2;1464320789;1390
57939633;0;300;4;11;Common;Standard;2;"Forgemaster's Armlet";D2D2D2;1464316869;503
57939634;0;700;5;5;Uncommon;Standard;2;"Forgemaster's Hammer";D2D2D2;1464329369;627
57939635;0;333;5;8;Common;Standard;2;"Forgemaster's Mask";D2D2D2;1464355338;408
57939636;0;478;5;20;Common;Standard;8;"Four-Fangs the Swordbreaker";D2D2D2;1464317364;1048
57939645;0;2299;4;10;Common;Standard;18;"Girth of the Swordmaster";D2D2D2;1464354868;87
57939646;0;240;8;12;Common;Standard;23;"Gloves of the Admirable Admiral";D2D2D2;1464317288;263
57939648;0;1779;6;40;Common;Standard;8;"Grand Claive of the Unshamed";D2D2D2;1464320638;1770
57939648;230139020;2990;2;0;Common;Standard;8;"Grand Claive of the Unshamed";D2D2D2;1464344023;1103
57939649;0;590;5;16;Uncommon;Standard;53;"Grand Crown of the Gigas";D2D2D2;1464326268;1366
57939649;230139020;9700;1;1;Uncommon;Standard;53;"Grand Crown of the Gigas";D2D2D2;1464326595;82
57939650;0;29989;3;18;Common;Standard;23;"Grand Curls of the Admirable Admiral";D2D2D2;1464317376;4
57939651;0;253;15;20;Common;Standard;18;"Grip of the Swordmaster";D2D2D2;1464317792;474
57939652;0;196;2;12;Common;Standard;53;"Guard of the Deep Tribes";D2D2D2;1464315358;597
57939654;0;168;7;16;Common;Standard;4;"Habit of the Seeker";D2D2D2;1464352907;1565
57939656;0;196;4;14;Common;Standard;57;"Hammer of the Radiant Crusader";D2D2D2;1464308837;41724
57939658;0;279;5;6;Common;Standard;62;"Harvester of the Hidden Hunter";D2D2D2;1464351115;545
57939659;0;1073;22;21;Rare;Standard;8;"Healing Ward of the Kuur-Ishiminari";D2D2D2;1464313278;1124
57939661;0;1397;4;10;Uncommon;Standard;18;"Helm of the Flameguard";D2D2D2;1464307870;541
57939663;0;599;11;12;Common;Standard;57;"Helm of the Radiant Crusader";D2D2D2;1464354807;494
57939663;230139020;500;1;0;Common;Standard;57;"Helm of the Radiant Crusader";D2D2D2;1464338286;310
57939663;253032557;700;1;0;Common;Standard;57;"Helm of the Radiant Crusader";D2D2D2;1464352470;423
57939665;0;100;27;17;Common;Standard;4;"Hlotl-Feather Gloves";D2D2D2;1464307421;2350
57939665;627286131;299;1;0;Common;Standard;4;"Hlotl-Feather Gloves";D2D2D2;1464326766;391
57939666;0;135;20;21;Common;Standard;4;"Hlotl-Feather Necklace";D2D2D2;1464353410;1030
57939666;1651607247;1000;1;0;Common;Standard;4;"Hlotl-Feather Necklace";D2D2D2;1464328753;177
57939666;1651650960;1000;1;0;Common;Standard;4;"Hlotl-Feather Necklace";D2D2D2;1464328748;75
57939667;0;112;20;22;Common;Standard;4;"Hlotl-Tusk Headdress of the Seeker";D2D2D2;1464318841;2616
57939667;230139020;2800;1;0;Common;Standard;4;"Hlotl-Tusk Headdress of the Seeker";D2D2D2;1464326718;41
57939668;0;119;7;10;Uncommon;Standard;53;"Horns of Noblesse";D2D2D2;1464309206;1143
57939670;0;291;14;4;Common;Standard;53;"Horns of the Forest Lord";D2D2D2;1464315377;258
57939672;0;200;5;15;Rare;Standard;53;"Horns of the Peace-Bringer";D2D2D2;1464352664;375
57939673;0;150;8;19;Common;Standard;6;"Ice Burst Bow";D2D2D2;1464318599;767
57939673;628859935;1499;1;0;Common;Standard;6;"Ice Burst Bow";D2D2D2;1464329942;201
57939674;0;112;9;23;Common;Standard;6;"Ice Burst Bracers";D2D2D2;1464312830;1027
57939675;0;196;8;22;Common;Standard;6;"Ice Burst Greaves";D2D2D2;1464318190;719
57939675;628859935;524;10;0;Common;Standard;6;"Ice Burst Greaves";D2D2D2;1464319762;269
57939676;0;443;10;15;Uncommon;Standard;8;"Kimono of the Ebony Tower";D2D2D2;1464336803;1971
57939677;0;1840;4;30;Common;Standard;29;"Kraken Shell";D2D2D2;1464329155;1560
57939677;674284521;1800;1;0;Common;Standard;29;"Kraken Shell";D2D2D2;1464309704;1364
57939678;0;539;8;12;Rare;Standard;53;"Lei of the Peace-Bringer";D2D2D2;1464320712;1096
57939679;0;899;6;28;Uncommon;Standard;8;"Long-Fang the Grey Blade";D2D2D2;1464321252;1218
57939680;0;398;2;8;Common;Standard;23;"Lucky Tooth Necklace";D2D2D2;1464312352;427
57939681;0;254;9;33;Uncommon;Standard;53;"Luxuriant Chin-Foliage";D2D2D2;1464305380;1744
57939682;0;1198;5;11;Common;Standard;18;"Mask of the Freelancer";D2D2D2;1464322449;711
57939686;0;1052;10;10;Common;Standard;18;"Meranth Executioner's Blade";D2D2D2;1464307793;468
57939689;0;109;7;3;Uncommon;Standard;53;"Modestly Braided Beard";D2D2D2;1464317379;2633
57939692;0;977;2;18;Mythical;Standard;1001;"Morok's Mechanical Mediary";D2D2D2;1464319879;531
57939692;1680540632;1900;1;0;Mythical;Standard;1001;"Morok's Mechanical Mediary";D2D2D2;1464354813;279
57939693;0;1520;26;29;Rare;Standard;-1;"Именной ярлык";D2D2D2;1464317742;853
57939694;0;698;34;24;Common;Standard;29;"Naval Mine";D2D2D2;1464317307;911
57939695;0;527;23;3;Uncommon;Standard;29;"Octopus Hat";D2D2D2;1464331363;831
57939697;0;3465;6;10;Common;Standard;8;"Omnishred the Defiant";D2D2D2;1464315368;150
57939697;674859133;3500;1;0;Common;Standard;8;"Omnishred the Defiant";D2D2D2;1464326708;196
57939698;0;1085;13;7;Uncommon;Standard;62;"Pangolin Carapace";D2D2D2;1464316278;159
57939699;0;123;3;7;Uncommon;Standard;62;"Pangolin Scarf";D2D2D2;1464339924;3951
57939700;0;165;4;7;Uncommon;Standard;62;"Pangolin Shoulder Armor";D2D2D2;1464311834;648
57939701;0;229;4;9;Common;Standard;18;"Pantaloons of the Freelancer";D2D2D2;1464313442;1323
57939702;0;149;6;19;Common;Standard;53;"Pauldron of Al-Fusha";D2D2D2;1464305607;805
57939703;0;225;15;71;Common;Standard;23;"Pegleg of the Cursed Pirate";D2D2D2;1464305099;2333
57939704;0;165;3;14;Common;Standard;2;"Pillar of Strength";D2D2D2;1464326803;1212
57939705;0;258;7;2;Common;Standard;6;"Pincher Bow";D2D2D2;1464324034;1101
57939706;0;149;8;8;Common;Standard;53;"Pine-Sage Sigil Stones";D2D2D2;1464318348;1765
57939707;0;272;11;23;Uncommon;Standard;29;"Pirate Slayer's Black Flag";D2D2D2;1464307704;1952
57939708;0;430;10;14;Uncommon;Standard;29;"Pirate Slayer's Bracer";D2D2D2;1464341556;949
57939709;0;350;13;24;Uncommon;Standard;29;"Pirate Slayer's Cutlass";D2D2D2;1464317961;1086
57939710;0;500;6;20;Uncommon;Standard;29;"Pirate Slayer's Tricorn";D2D2D2;1464304983;600
57939711;0;310;6;20;Uncommon;Standard;8;"Prey-Tracker's Aspect Mask";D2D2D2;1464322786;1242
57939712;0;292;9;8;Common;Standard;23;"Pride of the Crew";D2D2D2;1464336890;2024
57939713;0;950;10;16;Uncommon;Standard;29;"Raw Hide";D2D2D2;1464315118;1547
57939715;0;4877;13;35;Common;Standard;8;"Relic Blade of the Kuur-Ishiminari";D2D2D2;1464352788;1200
57939715;1465625190;7000;1;0;Common;Standard;8;"Relic Blade of the Kuur-Ishiminari";D2D2D2;1464311769;989
57939715;1695926922;32155;1;0;Common;Standard;8;"Relic Blade of the Kuur-Ishiminari";D2D2D2;1464333342;1000
57939715;1724364687;12000;1;0;Common;Standard;8;"Relic Blade of the Kuur-Ishiminari";D2D2D2;1464335958;475
57939715;1725019077;12800;1;0;Common;Standard;8;"Relic Blade of the Kuur-Ishiminari";D2D2D2;1464346106;1000
57939716;1661138092;34000;1;0;Uncommon;Standard;4;"Набор «Ritual Garb of the Seeker»";D2D2D2;1464322499;778
57939717;0;139;4;21;Common;Standard;23;"Royal Admiral's Bicorne";D2D2D2;1464346395;2036
57939717;230139020;250;1;0;Common;Standard;23;"Royal Admiral's Bicorne";D2D2D2;1464347628;996
57939718;0;590;8;24;Rare;Standard;53;"Runed Ailettes";D2D2D2;1464307917;1358
57939718;929524735;1900;1;0;Rare;Standard;53;"Runed Ailettes";D2D2D2;1464348459;462
57939719;0;590;2;9;Uncommon;Standard;53;"Runestaff of Verodicia";D2D2D2;1464342220;171
57939722;0;2900;1;26;Common;Standard;23;"Seafarer's Shoes";D2D2D2;1464336430;30
57939724;0;162;16;15;Common;Standard;8;"Seven-Sealed the Fur Bracer";D2D2D2;1464341574;1802
57939725;0;131;4;17;Common;Standard;18;"Shoulderguard of the Freelancer";D2D2D2;1464355484;3397
57939726;0;1898;4;16;Common;Standard;62;"Shuriken of the Hidden Hunter";D2D2D2;1464353047;77
57939727;0;120;7;18;Common;Standard;57;"Sigil of the Radiant Crusader";D2D2D2;1464352662;2108
57939727;673322540;230;1;0;Common;Standard;57;"Sigil of the Radiant Crusader";D2D2D2;1464351613;1100
57939728;0;400;5;11;Common;Standard;53;"Sinorian Sphere Staff";D2D2D2;1464327043;635
57939728;1639804429;5500;1;0;Common;Standard;53;"Sinorian Sphere Staff";D2D2D2;1464309878;52
57939729;0;400;4;11;Uncommon;Standard;29;"Skeletal Catch";D2D2D2;1464329431;348
57939729;253032933;213;1;0;Uncommon;Standard;29;"Skeletal Catch";D2D2D2;1464355081;906
57939730;0;1612;2;28;Rare;Standard;18;"Skirt of the Flameguard";D2D2D2;1464305069;852
57939731;0;357;9;22;Common;Standard;53;"Spectrolite Staff";D2D2D2;1464336819;616
57939732;0;15200;10;1;Rare;Standard;6;"Набор «Spikes of Frost»";D2D2D2;1464337475;595
57939733;0;979;7;26;Mythical;Standard;29;Squiddles;D2D2D2;1464310635;1073
57939734;0;700;1;11;Rare;Standard;53;"Staff of the Eagle";D2D2D2;1464329360;123
57939735;0;169;9;8;Common;Standard;53;"Staff of the Tusk-Bereft";D2D2D2;1464346437;680
57939736;0;299;3;7;Uncommon;Standard;8;"Stoic Mask of the High Plains";D2D2D2;1464314669;963
57939737;0;4459;4;10;Common;Standard;2;"Stone Guard";D2D2D2;1464337456;26
57939738;0;123;9;4;Common;Standard;2;"Stone Helmet";D2D2D2;1464322438;959
57939739;0;100;8;15;Common;Standard;2;"Stone Loins";D2D2D2;1464310990;1890
57939740;0;3895;7;5;Immortal;Standard;1001;"Stumpy - Nature's Attendant";D2D2D2;1464307568;841
57939741;0;111;12;19;Common;Standard;74;"Stylish Wizard's Topnot";D2D2D2;1464309034;1027
57939742;0;100;11;9;Common;Standard;29;"Swamp Fins";D2D2D2;1464304993;3350
57939742;1077953042;1725;1;0;Common;Standard;29;"Swamp Fins";D2D2D2;1464310945;254
57939743;0;199;6;11;Common;Standard;23;"Sword of the Admirable Admiral";D2D2D2;1464309291;377
57939744;0;878;2;3;Uncommon;Standard;18;"Sword of the Flameguard";D2D2D2;1464352155;449
57939745;0;523;4;8;Common;Standard;18;"Sword of the Freelancer";D2D2D2;1464329170;1002
57939746;0;200;3;8;Common;Standard;18;"Sword of the Mono Militis";D2D2D2;1464315576;2560
57939747;0;307;5;6;Uncommon;Standard;23;"Sword of the Seventy-Seven Seas";D2D2D2;1464319777;697
57939749;0;262;12;32;Common;Standard;18;"Tayrnhelm of the Swordmaster";D2D2D2;1464323442;737
57939749;1630037822;7700;1;0;Common;Standard;18;"Tayrnhelm of the Swordmaster";D2D2D2;1464309875;16
57939753;1435639646;250000;1;0;Common;Standard;2;"Набор «The Berserker's Blood»";D2D2D2;1464314111;3080
57939754;57939888;4391;3;0;Mythical;Standard;2;"Blood Chaser";D2D2D2;1464312315;888
57939754;57943523;4386;2;8;Mythical;Standard;2;"Blood Chaser";D2D2D2;1464344169;889
57939757;0;200;6;6;Uncommon;Standard;18;"The Cleaver of Might";D2D2D2;1464346839;1000
57939759;0;70000;1;0;Uncommon;Standard;74;"Набор «The Fires of Exort»";D2D2D2;1464343093;481
57939759;1661089726;34000;1;0;Uncommon;Standard;74;"Набор «The Fires of Exort»";D2D2D2;1464323269;853
57939762;0;153400;1;0;Uncommon;Standard;29;"Набор «The Paleogeneous Punisher»";D2D2D2;1464332220;125
57939763;0;6497;19;4;Rare;Standard;29;"Набор «The Pirate's Booty»";D2D2D2;1464352893;1071
57939765;0;488;4;29;Common;Standard;8;"Three-Fold Mien of the Boar God";D2D2D2;1464319845;1127
57939766;0;539;9;23;Common;Standard;41;Timestopper;D2D2D2;1464329297;1371
57939767;0;181;5;16;Uncommon;Standard;53;"Toga of the Peace-Bringer";D2D2D2;1464326270;1354
57939768;0;915223;1;0;Rare;Standard;62;"Набор «Trappings of the Pangolin Guild»";D2D2D2;1464337247;858
57939770;57939888;11100;1;0;Common;Standard;1003;"Treasure Key";D2D2D2;1464309330;1796
57939771;0;179;10;24;Common;Standard;23;"Tricorne of the Drowned";D2D2D2;1464350736;2872
57939772;0;3084;9;13;Immortal;Standard;1001;"Trusty Mountain Yak";D2D2D2;1464317462;932
57939772;230157440;4800;2;1;Immortal;Standard;1001;"Trusty Mountain Yak";D2D2D2;1464305812;710
57939772;673312447;6500;2;3;Immortal;Standard;1001;"Trusty Mountain Yak";D2D2D2;1464352384;434
57939773;0;699;3;7;Common;Standard;53;"Tusked Bracers";D2D2D2;1464329447;106
57939774;0;201;7;13;Common;Standard;8;"Twelve-Tusks the Cape of Boars";D2D2D2;1464308488;1015
57939775;0;420;4;12;Common;Standard;53;"Twin Bull Adornment";D2D2D2;1464321990;721
57939777;0;827;17;6;Rare;Standard;8;"Visage of the Ivory Isles";D2D2D2;1464349916;1547
57939778;0;499;14;42;Uncommon;Standard;41;"Voidkeeper's Visage";D2D2D2;1464355469;1623
57939779;0;200;7;10;Common;Standard;4;"War Blade - Off-Hand";D2D2D2;1464322350;645
57939780;0;132;7;13;Common;Standard;4;"War Blade";D2D2D2;1464353005;568
57939781;0;299;9;16;Common;Standard;23;Wavecrester;D2D2D2;1464318710;1957
57939782;0;287;6;46;Uncommon;Standard;8;"Wolf Cape of the High Plains";D2D2D2;1464315520;2059
57939782;1698761601;2500;1;0;Uncommon;Standard;8;"Wolf Cape of the High Plains";D2D2D2;1464311106;236
57939783;0;861;8;20;Rare;Standard;18;"Wuldastron the Twin-Blade of Giants";D2D2D2;1464307265;1755
57939783;230157440;5500;1;0;Rare;Standard;18;"Wuldastron the Twin-Blade of Giants";D2D2D2;1464349771;300
57939784;0;200;3;4;Common;Standard;49;"Wyrm Bracers of Uldorak";D2D2D2;1464330833;695
57939786;0;130;6;6;Common;Standard;49;"Wyrm Helm of Uldorak";D2D2D2;1464313010;885
57939787;0;219;1;2;Common;Standard;49;"Wyrm Pauldrons of Uldorak";D2D2D2;1464340758;352
57939788;0;138;6;3;Uncommon;Standard;49;"Wyrm Shield of Uldorak";D2D2D2;1464351576;1087
57939790;0;139;5;5;Common;Standard;49;"Wyrm Skirt of Uldorak";D2D2D2;1464353378;835
57944753;0;100;16;47;Common;Standard;30;"Juju o' Wicked Badness";D2D2D2;1464318834;1970
57944755;0;100;15;51;Common;Standard;30;"Staff o' Wicked Badness";D2D2D2;1464318595;850
57944755;1720732848;100;1;0;Common;Standard;30;"Staff o' Wicked Badness";D2D2D2;1464354786;1200
57944756;0;180;17;50;Common;Standard;30;"Mask o' Wicked Badness";D2D2D2;1464355768;639
57944756;253033801;500;1;0;Common;Standard;30;"Mask o' Wicked Badness";D2D2D2;1464351143;586
57944757;0;100;12;59;Common;Standard;30;"Belt o' Wicked Badness";D2D2D2;1464336715;1300
57947174;0;1649900;4;1;Immortal;Standard;70;"Lucky Alpine Stalker's Hat";D2D2D2;1464317165;955
57947214;0;1149900;2;1;Immortal;Standard;70;"Alpine Stalker's Scarf";D2D2D2;1464350495;1109
57947235;0;630000;6;1;Immortal;Standard;70;"Alpine Stalker's Pants";D2D2D2;1464318295;1379
57947244;0;428500;2;3;Immortal;Standard;70;"Alpine Stalker's Gloves";D2D2D2;1464354176;919
57947244;253034723;400000;1;0;Immortal;Standard;70;"Alpine Stalker's Gloves";D2D2D2;1464340111;996
57948105;0;699;3;8;Uncommon;Standard;2;"Kingslayer Axe";D2D2D2;1464349407;601
57950092;0;9269;5;6;Rare;Standard;18;"Commander's Pauldron of the Flameguard";D2D2D2;1464313499;983
57950092;675693518;16700;1;0;Rare;Standard;18;"Commander's Pauldron of the Flameguard";D2D2D2;1464342173;528
57954022;0;275;11;5;Uncommon;Standard;30;"Horn Mask";D2D2D2;1464321215;2138
